"","P001","P002","P003","P004","P005","P006","P007","P008","P009","P010","P011","P012","P013","P014","P015","P016","P017","P018","P019","P020","P021","P022","P023","P024","P025","P026","P027","P028","P029","P030","P031","P032","P033","P034","P035","P036","P037","P038","P039","P040","P041","P042","P043","P044","P045","P046","P047","P048","P049","P050","P051","P052","P053","P054","P055","P056","P057","P058","P059","P060","P061","P062","P063","P064","P065","P066","P067","P068","P069","P070","P071","P072","P073","P074","P075","P076","P077","P078","P079","P080","P081","P082","P083","P084","P085","P086","P087","P088","P089","P090","P091","P092","P093","P094","P095","P096","P097","P098","P099","P100"
"PRSS3P2",5.19842,6.20201,5.34525,6.28323,5.63049,6.21126,5.21961,7.0801,5.32904,4.95965,5.34934,5.8108,5.24625,5.76105,5.21728,5.31767,5.72075,6.06472,5.19981,5.74961,6.16997,5.58181,5.082,6.39188,5.34081,5.71442,5.62091,5.4492,5.09954,5.03372,5.35034,5.10622,6.28023,5.71518,5.87831,5.24085,5.34479,5.90372,5.41245,5.06949,5.38691,4.94056,5.29563,5.68417,5.43987,5.61012,6.07686,5.78003,5.53202,5.64523,4.784,5.55286,4.88081,5.1133,5.53949,5.71216,4.69803,5.71624,5.50727,7.84401,5.29465,5.24763,5.22293,7.93907,5.64044,4.93946,6.69049,5.33545,6.25492,5.71592,5.76699,5.38674,6.0167,5.53959,5.68822,5.15248,5.4456,6.18307,5.5151,4.9352,6.17872,5.31765,5.34986,5.8733,5.53487,5.69368,11.11755,5.82553,6.05312,5.75666,5.29111,5.05516,5.93774,5.59739,7.24069,4.8181,5.6194,6.58469,5.21297,5.8007
"101928806_at",5.4417,5.65951,5.9331,5.44894,6.05213,6.13831,5.47697,5.7254,6.04282,5.94644,5.47925,5.73907,5.46001,6.00479,5.95568,5.33611,6.00042,6.37821,6.14843,5.82933,5.8636,5.71888,5.61763,5.67004,5.50135,5.82441,6.04295,6.31804,6.02269,5.96197,5.57632,6.00661,6.46276,5.67648,5.8409,6.24225,5.84093,6.12735,5.96551,5.6384,5.47265,5.95962,5.73499,6.12517,6.03318,5.85753,5.91931,6.01054,6.08385,5.26395,6.31506,6.09549,5.99885,5.94011,5.62106,5.98088,6.04596,5.45066,5.7058,5.85861,5.88029,5.42808,5.54831,5.37944,6.09293,5.5115,6.41157,5.88348,6.52413,5.94111,6.26329,5.60778,5.86752,6.09951,5.93551,5.89414,5.38895,5.97496,5.82454,6.74815,5.96738,6.07856,7.44942,5.57259,5.95523,5.65653,5.93196,6.22399,5.63961,5.56981,5.90382,6.22345,5.92898,6.00236,6.02545,5.58907,5.73268,5.54929,6.01653,5.66185
"BRIX1",10.1328,9.19589,10.46449,8.12,9.28444,8.69813,9.36342,9.43347,9.4237,9.03946,8.92387,9.09725,9.01728,9.86129,10.24077,9.14218,8.53453,8.72782,8.19557,10.89333,8.40367,8.39624,8.83495,8.64798,9.02059,8.69117,8.3452,10.5033,9.58925,9.52476,8.6299,10.21605,8.76331,9.74958,9.05394,8.91281,8.98185,8.74928,8.76937,10.24284,9.51343,9.07814,7.98093,8.64661,9.8106,9.03723,8.88201,8.51274,10.66019,10.08972,7.05471,8.75682,10.16872,8.23589,9.84166,8.43086,8.3646,9.92907,8.63458,7.77974,9.95025,10.75188,8.42644,8.02665,9.06221,9.25434,9.26032,9.20739,8.85619,8.56066,9.18382,8.8078,10.3593,8.85094,9.60735,9.50883,8.21532,10.03292,8.27217,9.108,9.47375,8.72434,7.89606,9.5637,9.24597,8.53287,7.62083,10.52905,9.1756,8.51718,9.29568,9.51451,9.61895,8.18329,9.11971,8.16614,8.65605,9.31545,9.79225,10.06959
"HNRNPH3",10.05912,9.71522,10.50728,9.62257,9.69222,9.12316,9.83731,9.2192,9.68454,9.76832,9.87258,9.3471,10.14108,9.3521,10.12158,9.07494,10.06933,9.49456,8.66029,10.42598,9.75027,9.8772,9.4961,9.58437,9.42587,10.1306,9.43126,10.28978,9.58824,9.70742,8.99433,10.03172,9.05395,9.40048,9.69256,9.68982,8.78658,9.80065,9.68716,9.93696,9.75285,9.67347,9.16338,9.63199,9.94047,9.63153,10.44974,9.74867,9.2739,9.76799,9.27716,9.78575,9.63305,9.40821,9.92917,9.65849,9.10595,9.30757,9.83874,9.23084,9.67167,9.5888,9.70126,9.75875,9.43401,9.71885,9.49193,9.99257,9.17126,9.12737,9.95176,9.15533,9.96382,9.9253,9.68261,9.64177,9.85999,10.015,9.86324,9.55911,9.8117,9.73732,9.43174,10.37715,9.46452,9.97264,9.56353,9.75631,9.51382,9.73899,10.38992,9.55009,9.96625,9.62119,9.74512,9.99989,9.2156,9.16791,10.2039,10.56912
"CLTC",12.53583,12.46447,12.67939,12.89654,13.17877,12.59643,12.96236,12.77589,12.92708,13.21219,13.08511,12.853,12.86181,13.02991,12.38265,12.33573,12.45738,12.81309,12.39194,12.67671,12.35415,12.86166,12.9625,12.66437,12.46515,12.32228,12.63846,12.49991,12.49384,11.75943,12.78213,12.6674,12.59027,13.00909,12.7071,12.54804,12.52134,12.52609,12.96426,13.52518,12.6927,13.01036,12.9335,12.75284,12.8976,12.7852,12.86277,12.47108,12.79082,13.23015,12.36936,12.67901,12.1284,12.87997,12.93057,12.4392,13.1376,12.5299,12.96074,12.75054,12.60156,12.21581,12.56617,12.48259,12.82632,12.56788,12.28431,12.87961,12.65467,12.70574,12.69205,12.59131,13.44656,12.30329,12.58506,13.18713,12.71407,12.59808,12.7525,12.54319,12.08151,12.70555,12.83663,12.31273,12.61743,12.852,13.30621,13.16669,12.51904,12.26964,13.0634,12.51503,12.44411,12.60953,12.42003,12.64042,12.57414,12.45086,13.46389,13.51931
"ADNP",9.40626,9.00547,9.96308,9.5974,9.61458,9.25174,8.90346,8.99935,9.30487,8.82314,9.38317,8.77258,9.70662,8.90814,9.36498,9.44271,10.07455,9.16727,8.85554,9.70751,8.83283,9.08911,9.01565,9.4012,9.46264,9.51839,8.82401,10.47098,9.58433,9.25563,9.31077,10.41321,9.00946,8.90103,9.47471,9.39815,9.61607,8.98526,9.07567,9.75687,8.66579,10.17619,9.005,9.01821,8.93492,9.00123,9.9104,9.30303,9.6325,9.34892,9.05756,9.75387,9.21948,8.56743,9.53954,9.43854,9.30724,8.61382,9.06512,9.07285,9.51864,9.63781,8.70753,8.90348,8.80149,9.47174,9.40365,8.59773,8.48415,9.04836,9.31193,9.46513,9.13981,8.99768,8.77876,9.05545,9.23331,8.6339,9.21802,9.20533,9.15302,9.13972,8.34762,9.5183,9.41391,9.408,8.87183,9.04798,8.90547,9.23336,9.81728,8.88846,9.34088,8.82442,9.30519,8.66297,8.82299,9.1914,9.78503,9.21162
"GTF2E2",10.39369,9.21922,9.55324,9.36923,10.05836,8.66741,9.05786,9.89449,9.73664,8.73595,9.11051,9.72753,8.1324,9.44307,8.52619,9.13726,8.84443,8.67565,8.73698,9.50083,8.74311,8.88089,9.06931,9.67566,9.01903,9.77036,9.39119,8.89562,8.9809,8.50786,8.61092,8.95471,9.00296,8.88888,9.96703,9.11477,8.53859,9.6025,8.76477,9.00899,9.14479,9.39739,9.11834,9.05118,9.63091,9.78435,9.21258,9.81268,9.13375,8.4542,8.18822,9.09157,9.874,8.93278,9.0259,8.99961,9.4439,9.18472,8.52281,8.6144,9.67953,9.71072,8.08992,9.74473,9.40948,11.14112,9.72386,9.20378,8.73695,8.01243,9.33245,9.08138,9.96731,9.61072,10.08155,9.65307,9.12676,9.84935,9.28457,8.47537,9.59026,9.07783,8.93733,9.87719,9.21626,9.09582,9.7808,8.2731,10.02765,9.36211,9.45245,9.04568,9.89918,8.90714,10.07101,9.66569,9.55321,10.8564,9.15935,10.00208
"ZNF600",8.03858,7.52785,7.79039,7.23275,7.36406,6.93256,8.30541,4.75038,8.51784,7.51709,7.06463,5.65813,7.74918,7.93537,8.95362,4.85268,7.1212,8.55571,7.90343,5.07993,7.77622,7.28381,5.93067,7.01433,7.79521,6.18749,6.12636,6.85773,8.32647,8.44789,7.12923,9.10237,7.43471,6.57345,7.67557,7.7283,8.93485,6.1167,6.94783,8.22594,6.12096,7.80558,7.09137,7.26632,9.56327,7.06816,7.23689,8.32771,7.40509,7.75565,7.6215,8.51771,5.90535,7.26295,7.5231,7.27042,8.21571,8.51851,8.14163,6.91483,8.29133,9.15805,7.33027,8.56694,6.09425,8.30644,7.67175,7.1137,6.86006,8.10849,6.83977,7.13075,6.6642,8.05984,7.41238,7.65986,7.81753,7.19743,7.80236,6.07512,7.00367,6.87578,6.53659,7.95339,7.49427,7.10211,7.51672,6.17216,6.81687,7.57723,8.54976,6.90281,8.3821,7.12998,5.79061,6.33486,5.7033,6.11465,8.12217,6.33082
"ZNF438",6.35134,6.6313,6.18741,6.56335,6.48591,6.65144,6.66882,6.20089,6.31232,6.59987,6.49913,6.61515,6.30337,6.07537,7.09648,6.88459,6.17858,6.6269,6.70894,6.76563,6.36246,6.15442,6.69579,6.2152,6.18987,6.31825,7.58071,6.21567,7.39051,6.50265,6.56358,6.81058,6.484,6.9465,6.48907,6.13003,6.55947,6.48967,6.53651,6.62813,6.19989,6.69939,6.25221,6.81849,6.54378,6.12779,6.50284,6.02217,6.0594,6.6454,6.81648,6.46294,6.44802,6.68145,6.359,6.53782,6.56274,6.76943,6.48407,6.70633,6.46215,6.78901,6.80097,7.0134,6.73178,6.62657,6.96658,6.35901,6.7609,6.69881,6.68817,6.49031,6.65356,6.36544,6.45709,6.71636,6.57587,6.5597,6.68451,6.89223,7.07635,6.3921,7.1685,7.028,7.05947,6.57669,6.92994,6.51494,6.51721,6.4176,6.21913,6.31994,6.49774,6.57835,6.5274,6.74293,6.33586,6.98884,6.5846,6.68836
"RAPSN",4.46609,4.22285,4.66484,4.55775,4.39419,4.85261,4.10878,4.71067,4.59234,4.0698,4.79928,4.23847,4.04576,4.47625,5.00624,4.27639,4.66432,4.34663,4.85014,4.11935,4.57082,4.4602,4.26231,4.57825,4.30196,4.33529,4.18951,4.02552,4.38953,4.23965,4.22419,4.29965,4.26412,4.39014,4.0267,6.11409,4.5251,4.2535,4.49299,4.27412,4.5852,4.3187,4.62424,4.29136,4.59514,4.36918,3.85446,4.15144,5.06153,4.37858,4.96824,4.48711,4.15766,4.29149,4.33033,4.39575,4.74942,4.26765,4.03886,4.1327,4.79848,4.42228,4.22857,4.51816,4.54139,4.54869,4.79806,4.38914,4.37495,4.15648,3.97376,3.90031,4.47425,4.28944,4.62353,4.5617,4.4598,4.29036,4.94292,4.79162,4.35635,4.55034,4.59082,4.23028,4.67324,4.32245,5.23676,4.58832,4.32015,4.56114,4.65505,4.46395,4.6399,4.65765,4.10656,4.18128,4.04416,4.22618,4.64854,4.25055
"EMC9",8.5315,8.1682,9.00213,8.31271,8.29054,7.65406,8.0217,8.39039,9.83271,8.54318,8.25344,8.82023,9.54869,9.06706,8.58931,8.09456,7.59196,8.22248,8.21962,8.68467,8.27074,8.85537,8.76708,8.60979,8.21708,8.2751,8.20979,8.86046,8.54924,8.50763,7.99589,9.13582,7.65919,8.16928,8.54605,9.17397,8.22763,8.3691,8.19345,7.78055,8.81795,8.84138,8.46058,8.1355,8.89106,8.00062,8.59894,9.13226,8.11302,8.29574,7.71403,8.51853,8.3381,8.36565,8.21641,8.33662,8.54484,7.97885,8.21208,7.72448,8.60941,8.52497,7.8054,7.86679,7.73695,8.67832,7.83844,7.95891,7.89246,7.46222,8.54528,7.61724,8.78294,8.90239,8.23572,7.85721,8.43909,8.25187,7.59301,8.69442,7.37021,8.39953,8.81107,8.17674,9.66445,7.73705,7.61604,8.76025,8.57693,7.76859,8.17024,8.3243,8.40152,7.75284,8.02004,8.16805,8.03879,8.77529,7.81389,9.12006
"LAPTM4B",11.61895,10.92541,11.44585,11.96076,13.01307,11.92712,12.3574,12.45068,12.60206,12.38482,13.1185,11.64323,12.43138,12.74839,12.72478,11.40685,11.78014,11.18327,11.87598,12.15692,11.11672,13.31054,13.24855,11.18367,12.46449,11.26239,11.78792,12.64903,12.83308,11.36105,11.82456,12.39954,12.1943,11.79859,12.23508,12.2282,12.35476,11.49484,11.56944,11.90086,12.58188,12.39204,11.57885,11.8655,13.10233,13.40985,11.91516,13.83209,12.40607,12.55518,12.56606,12.91652,11.93141,11.56455,13.57675,10.81655,10.69623,11.12017,12.11866,11.88582,12.82097,12.99049,12.21461,10.28757,11.88142,12.01185,11.74122,13.53332,11.25098,12.40756,11.49408,11.77973,13.71556,11.91318,12.00476,12.15333,12.02098,11.33159,12.29656,11.17293,11.4557,12.49354,12.67431,11.82357,11.42546,12.87032,10.63594,13.16259,11.59187,11.67156,12.09909,11.56143,12.64729,11.512,11.51526,12.14124,12.07392,12.52506,12.48116,12.49146
"SUCNR1",5.94593,7.14219,5.0131,5.61726,6.02285,6.97201,7.62975,5.54107,9.93629,7.37682,5.91482,6.91974,5.62014,6.29513,6.74291,8.12427,5.14958,7.00431,7.00641,6.3112,6.47903,5.3683,6.5615,5.90686,5.88,5.30288,7.71179,6.82847,7.08707,5.14193,6.67821,9.68801,8.48931,6.08709,6.13532,4.90767,5.29326,5.95055,7.09187,6.84462,6.19396,7.53691,5.30117,6.90193,5.21492,5.40096,6.5095,6.01649,4.90423,5.96972,7.43885,4.60376,6.19535,6.85311,7.22124,5.0724,6.09161,5.92086,7.41412,9.14734,5.49026,6.58279,6.78812,5.80238,6.26657,8.89086,6.53158,6.4047,7.89324,5.91496,6.58247,5.62605,7.02118,6.40557,5.70976,6.50681,7.17068,8.81714,5.52647,6.62565,7.32027,5.92484,8.7256,6.12651,6.7569,5.64932,7.50247,5.72722,5.40445,5.59222,5.77473,5.43678,5.992,6.23421,7.85653,6.17513,5.84422,6.86311,6.33981,6.54569
"TNFSF14",5.77653,5.60829,5.45689,5.55613,6.10006,6.08602,5.77227,5.93885,5.67166,6.01539,5.6209,5.47398,5.38555,5.62911,5.34037,5.33379,5.41774,5.50985,6.1642,5.37312,6.08928,5.47518,5.42169,5.18022,5.48342,4.95748,6.32217,5.65784,5.28571,5.27972,5.39241,5.23164,5.72683,5.4196,5.42852,5.65113,5.56153,5.56942,6.02136,5.3565,6.07182,5.55289,5.79671,5.93287,5.79701,5.46282,5.18397,5.40691,5.23094,6.1409,6.03635,5.52349,5.58986,6.77417,5.49389,5.37142,5.70233,6.32104,5.50853,5.77873,5.62834,5.34553,5.93583,5.83089,5.87996,5.73566,5.47492,5.56413,6.14651,5.56033,5.44711,6.02206,5.64389,5.96884,5.89712,5.65183,5.73701,5.90091,5.59903,6.06148,6.20613,5.81742,6.88658,5.56556,5.55387,6.04793,5.54304,5.448,5.74778,5.79299,5.75748,5.57783,5.86315,5.65556,5.74892,5.76439,5.23138,5.73473,5.86442,5.18302
"MURC",3.74542,3.92576,5.4412,4.16215,3.90735,3.7943,3.68712,3.93597,4.06213,4.16846,3.77234,3.92004,3.96507,3.98636,3.87365,4.14178,4.97676,3.86265,3.6931,3.78576,4.24629,3.78172,3.5692,4.07259,3.59493,4.08795,3.85644,5.6162,4.18419,4.00076,3.56641,4.44869,3.97554,3.8592,4.12594,3.91277,4.16871,3.74726,3.62429,3.75784,4.36014,3.56328,3.85765,3.4786,3.88231,4.00009,4.81089,4.04305,3.66809,3.95945,3.38913,4.47138,3.67397,3.66908,3.92816,3.42673,3.82747,3.8792,3.66911,3.72027,4.00986,3.78117,3.65358,3.60821,3.85008,4.37192,4.20197,3.87992,3.89846,3.5319,3.81235,3.85664,4.04149,3.74817,3.63845,3.61231,3.40831,3.88539,3.64364,3.73104,4.00233,4.22148,3.89245,4.47647,3.77337,4.16908,3.61932,4.59669,4.59969,4.04627,3.79792,3.87096,3.90683,3.83914,3.91989,3.66483,3.98681,3.62914,3.75405,4.56919
"EMB",3.91761,5.41868,4.50633,4.29782,4.181,5.21654,7.30165,3.87474,5.02957,6.55908,5.47607,4.57496,4.25664,4.72316,3.69765,3.75135,4.00042,4.87594,4.87101,4.54156,4.13347,4.77009,6.97396,4.21801,5.21584,4.26269,4.61816,3.90103,4.27086,3.90858,5.95074,4.89663,4.56394,4.38211,4.20125,3.58554,4.81513,4.16665,4.79021,4.48458,4.61039,4.53509,3.79652,5.77181,4.89943,4.06318,4.82683,3.55301,4.00607,4.58962,4.48428,4.65565,4.16359,5.98561,6.89082,4.93569,4.56049,4.691,4.71652,5.73937,4.07944,4.85961,5.25391,4.92057,4.33506,4.7101,4.29724,5.26107,4.82129,6.35085,4.30304,6.29587,3.98719,4.38261,4.52559,7.08439,6.36946,4.56641,4.99461,5.03704,4.77158,4.27066,4.46832,3.82826,4.42288,4.65053,5.369,4.83097,4.26243,4.27711,4.4837,5.586,4.81409,5.6472,4.3846,5.11606,4.44755,4.01536,5.38305,5.63639
"C1orf210",5.95592,6.09098,6.02385,5.37651,6.85944,5.03889,6.68499,4.91955,9.24776,6.12503,6.89706,5.07179,7.79146,4.49999,7.90262,5.82885,5.40222,7.30752,5.4082,5.03785,4.54657,6.5686,7.81258,4.86576,6.84262,4.73891,6.28252,5.47694,6.14149,6.07228,8.34232,6.91,5.10589,4.20882,4.97326,4.72922,5.75689,5.26541,6.0688,6.27599,6.46229,6.80066,5.35922,7.37306,6.95224,6.94749,7.06499,7.31,6.64343,6.37842,7.07063,6.7384,4.32575,6.03453,6.82822,6.88339,7.56481,4.51064,6.50359,7.26183,4.98815,5.07917,7.89375,7.23244,6.15377,5.31256,5.7306,6.4566,6.4984,7.06545,4.48001,7.82803,7.93302,5.6805,5.57752,7.45099,6.56274,5.72232,7.84974,6.6359,5.11544,6.10829,5.319,6.62573,6.27673,8.77359,8.75892,6.25363,5.02738,6.23372,6.00985,6.23693,6.78605,7.99027,5.72308,7.67406,6.45831,4.52197,6.84808,7.17183
"DNAJB4",10.26422,7.81382,7.50666,8.32329,7.54192,7.52806,8.10219,8.3416,8.78061,7.43114,6.45444,8.27279,7.34251,7.47174,7.23185,7.03744,6.98746,7.87541,6.89868,8.12815,9.36124,6.21264,6.62019,8.07128,7.21265,8.5612,8.23105,6.85588,9.15411,8.13548,6.11798,8.11654,6.33065,8.06046,8.30646,7.82316,7.30208,8.08391,7.45149,10.2341,8.71769,7.19449,9.32617,7.73992,5.66571,7.37478,7.2164,6.20697,7.63143,7.60006,6.87606,7.771,9.49734,6.64315,7.6545,7.32438,7.37734,7.42313,8.85039,6.8044,7.43535,8.17722,6.79997,6.59051,7.63939,10.23919,9.02527,7.98249,7.76935,6.56481,7.76314,7.36883,8.21178,6.47612,8.2135,6.77605,7.40027,8.01766,7.3616,6.79094,7.91613,7.33937,7.59658,9.87009,8.81473,8.10344,8.53618,6.24017,8.66307,7.89078,8.63583,7.56611,6.66122,7.4116,8.3834,7.37351,7.85763,8.76178,8.82702,9.14071
"IL13RA1",8.06653,9.42896,7.31302,8.10585,8.05005,8.50882,9.40742,10.10431,10.38118,9.39586,8.92911,9.14761,9.78896,7.96996,8.69164,7.88894,7.15454,10.18267,9.07606,8.10121,9.47589,8.25967,9.41618,9.30803,9.14739,8.15002,9.65032,8.587,8.94188,7.87256,9.4021,9.14192,7.40981,8.54689,9.16899,8.2656,7.64128,8.06939,8.95738,8.99296,10.2214,8.75518,8.9345,8.88849,7.97489,8.68639,8.09434,8.65702,7.63275,8.75147,8.80328,8.05013,8.82911,8.84826,8.94812,8.72021,8.56847,7.61999,8.61671,8.69436,7.99344,9.1405,9.39767,9.13824,7.53226,8.92539,7.76248,8.96884,9.26093,9.88536,7.70118,8.72979,9.1027,7.88317,8.65513,8.90452,9.72479,8.69975,9.30595,8.95327,8.73312,8.70818,8.6997,8.16475,9.38322,8.36415,9.24231,7.45361,8.84686,8.33245,8.9769,8.85291,8.07752,8.58096,9.50322,8.10537,7.54162,8.61047,8.94645,8.21606
"TCHH",4.42172,4.12511,3.77457,4.63362,3.45825,3.6694,4.58259,4.21764,3.61293,3.66036,4.0978,5.20802,4.14192,4.12334,8.30577,9.32747,3.44379,3.74986,8.854,4.22273,4.52223,3.53659,4.59911,9.94447,4.11606,7.78132,3.76487,3.40478,3.78656,5.80104,3.79954,3.78672,3.94405,5.71287,4.19095,7.61338,3.87505,4.73481,3.97446,4.88551,3.59006,3.88946,4.31443,3.71122,3.7445,3.47273,5.03469,3.42756,3.67372,3.49222,4.07322,3.56613,4.07615,3.54397,3.53609,6.11557,3.75676,3.81217,5.17371,4.32179,3.6215,3.74604,4.2482,3.35881,3.82117,3.70027,4.27285,3.86777,3.64099,3.3955,4.85534,3.71178,3.90691,3.87505,3.62993,3.67865,3.76773,3.71193,3.78936,5.62617,3.47345,3.74078,7.50285,3.46247,3.92716,4.18487,3.63636,3.4898,3.94398,6.41758,3.5788,3.79138,4.973,3.57815,3.79723,4.79375,8.32394,4.2315,3.61371,3.63714
"MORC3",10.00697,8.25492,9.15467,8.70924,8.01465,8.37731,9.24063,8.31311,8.22957,8.92058,8.61478,9.22275,8.74438,8.40577,8.33062,8.37099,8.12484,8.76919,9.14943,11.10097,9.22931,7.95602,8.36729,8.60787,8.4696,8.82602,9.05804,8.3712,8.80817,9.4846,9.26005,9.09398,7.94285,8.2453,8.00027,9.22897,9.17275,8.3761,8.57067,8.50089,8.70311,8.63018,9.11088,8.55247,8.8264,8.23529,9.95827,8.06997,8.99821,9.31832,8.7291,8.27458,8.99042,8.72063,8.24022,9.10581,8.18663,9.44127,8.79393,8.55858,8.89091,9.3285,9.15275,9.22449,8.21864,9.12028,8.80407,8.9389,8.26445,8.60989,8.23826,8.58636,8.42624,8.33866,9.09026,9.09032,8.89472,8.68655,8.49742,8.55081,9.1262,8.42618,7.90077,7.80298,8.571,8.46964,9.05676,8.19974,8.78119,9.52751,9.33956,8.27159,7.89091,8.75169,8.4004,8.6412,8.16572,7.92867,8.72968,8.36914
"S100A1",6.64748,6.00352,6.24744,5.99151,6.43136,6.54762,6.20573,6.44901,6.65052,6.6079,6.75637,6.47467,6.31246,6.51459,6.48522,6.37782,6.79973,6.2874,6.70438,6.43394,6.55222,6.48082,6.2522,5.84971,6.4988,6.06913,6.372,5.98402,6.22025,6.51369,6.7888,8.00296,6.68776,6.63195,6.35356,6.75356,6.17835,6.26185,6.25617,6.14923,6.70957,6.70179,6.16779,6.47329,6.57752,6.50939,5.79732,6.68425,6.40827,6.54375,6.84866,6.32617,6.48819,6.78891,6.51225,6.26662,6.68292,6.17487,6.24547,6.52614,6.49134,6.51743,6.75714,6.36952,6.77499,6.45044,7.5728,6.69297,6.59142,6.67166,6.46663,6.00184,6.89888,6.33545,6.35148,6.32483,6.41614,6.34649,6.08919,6.69607,6.57528,6.70468,8.46472,6.68675,6.24959,6.54305,6.98715,6.67111,6.51853,6.40531,6.33727,7.07561,6.95993,6.83883,6.55519,6.37494,6.88028,5.88767,6.66383,6.17004
"DNMT3A",7.56627,7.74282,7.96961,7.15829,7.43941,7.21626,7.14844,7.65959,7.2269,8.06082,7.75561,7.23395,7.78799,7.57025,7.77252,7.27301,9.2952,7.44449,7.53202,7.03814,7.34303,7.99489,7.03311,8.00577,8.17064,7.93505,7.39214,8.24274,7.40684,7.79662,7.41824,7.72329,7.59527,7.09493,6.86208,8.47704,7.75486,7.62519,7.62449,7.43248,7.8682,7.66417,7.92363,7.33469,7.9935,7.80958,7.12483,7.52372,7.82059,7.32775,7.49961,8.20515,7.52392,6.97062,8.00212,7.38512,7.90553,7.05906,7.4684,7.21831,7.94315,7.02308,7.7165,7.67262,7.60583,6.96565,7.40524,8.53836,7.29375,7.24779,7.62604,7.44525,7.35866,7.7883,8.08772,7.59991,7.65844,7.53208,7.92009,7.96704,7.79697,8.24587,7.32843,7.62718,7.92023,8.10029,6.83361,8.21656,7.39771,7.76267,8.0203,7.88719,7.24682,7.72812,7.52793,7.53282,7.04828,7.3705,7.63259,7.14338
"MR1",7.74336,8.16615,5.79215,6.94413,6.21967,7.71084,8.26276,6.81642,6.27182,7.89436,7.03335,7.53893,7.29213,6.36355,7.36549,7.31204,6.56741,8.21409,6.79154,6.02592,7.08149,7.7831,7.98465,7.15896,7.5113,7.06247,7.85782,6.14269,7.60064,6.43964,8.40193,6.17497,7.6914,7.08818,6.93299,6.27619,7.42316,7.58289,7.84404,7.61233,7.16082,7.23815,7.57466,7.60248,7.06183,7.26513,7.12396,7.17256,7.4232,7.76003,8.57742,6.54022,7.63436,8.13922,6.99983,7.171,8.79525,5.92913,7.90315,8.24966,6.62384,7.3276,7.82836,6.67868,7.9531,7.89845,7.0187,6.89291,7.34955,8.17424,7.34539,8.44701,7.2453,6.67801,7.43395,7.21981,8.65464,7.44754,7.70734,6.81915,7.47386,7.06422,8.65877,6.27669,6.73166,7.12642,8.08787,5.99894,7.29387,8.29048,6.62394,7.32694,7.43416,7.80182,7.59678,8.24617,7.32204,6.54689,7.166,5.89708
"GGNBP2",10.40434,9.38631,10.1276,9.78421,10.0124,9.31825,9.6058,9.60861,9.0024,9.92843,9.145,9.46656,9.88251,9.30267,10.24186,9.48175,9.54977,9.42109,8.95379,9.45398,9.91983,9.58976,9.25825,9.56791,9.60464,9.96655,8.90346,9.64068,9.67565,10.11834,9.83059,9.58888,9.54667,9.41467,9.38736,10.19417,9.37885,9.71164,9.85067,9.91677,9.42793,9.72483,9.7818,9.31658,9.26055,9.46385,9.99551,10.15603,9.13386,9.67927,9.29718,9.61956,9.99544,9.71204,9.55731,9.88544,9.866,9.77952,9.66814,9.59527,10.00186,9.73006,9.65828,9.9496,8.85352,9.15577,8.81718,9.61091,8.58259,9.39287,9.62345,9.62881,9.39613,9.45922,9.41915,10.03931,9.7035,9.38633,9.83123,9.74127,9.25162,9.64921,9.21435,9.72909,8.8203,9.78992,9.97891,9.1273,9.33977,9.66471,10.28329,8.96916,9.95762,9.65464,9.70501,9.78269,9.17681,9.79992,9.69086,9.95782
"ULBP3",4.63205,5.09908,4.79324,4.37749,4.59786,5.10513,4.59047,5.22034,4.48059,5.02392,5.21755,4.58152,4.75916,4.98278,4.94778,4.46351,5.13123,4.57897,5.40365,4.58863,5.44182,4.96768,4.50122,4.74185,5.12834,5.01096,4.58125,4.39564,4.51842,5.18351,4.64788,4.9938,4.64711,4.54045,4.59638,5.02279,4.63836,5.0037,4.72511,4.63312,4.75585,4.31964,5.20746,4.52419,5.27167,5.1474,4.51771,4.38193,4.83305,4.35304,5.12913,4.81541,5.0648,4.26621,4.80022,4.72783,4.6299,4.54499,4.50316,4.73322,5.6886,4.79182,4.68144,5.33671,4.58874,4.89145,4.88236,4.71017,4.34178,4.74302,4.52902,4.8928,4.93065,5.27238,4.67095,5.15939,5.04136,4.76959,5.05652,4.86826,5.42434,4.39932,5.41705,4.82366,4.66201,5.0274,4.94912,5.28464,5.08367,4.76129,4.74749,5.1395,4.91974,5.0235,4.99511,4.60819,4.36494,4.58868,4.63231,4.59333
"RCN2",10.97872,9.8178,10.74916,10.01224,9.56996,10.35564,9.67647,11.11776,9.24233,9.64936,9.7386,10.15093,10.49974,10.96933,11.03686,10.95421,11.35893,10.09581,9.07882,11.7287,10.03512,9.90843,9.23472,11.01161,9.91682,11.04664,10.00013,10.66069,10.54387,10.80152,10.04098,11.58052,9.62282,10.85458,10.64681,11.29876,10.43596,11.17709,9.98461,11.61732,10.93118,10.72658,11.31619,9.79572,9.36414,10.21303,10.76378,10.56458,10.28937,9.75972,9.12314,10.0869,10.00974,9.15156,10.955,10.28853,9.66162,10.36476,9.77311,9.35784,12.0848,10.66878,10.01323,9.21685,9.81819,10.46739,10.14828,10.19598,9.412,9.55068,11.11943,9.73594,10.19912,10.34615,10.57705,9.60475,9.966,10.70588,9.60454,11.4586,9.67723,10.21188,9.45185,11.64024,9.78131,10.08158,10.38127,10.25221,9.43745,10.67778,10.37445,10.01158,10.10616,9.98006,11.18907,10.67501,10.11369,10.5359,10.92518,10.67158
